"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Bulgaria (BG)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","N/A","475"
"Bulgaria (BG)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","N/A","378"
"Bulgaria (BG)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","N/A","295"
"Bulgaria (BG)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","N/A","290"
"Bulgaria (BG)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","N/A","272"
"Bulgaria (BG)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","N/A","341"
"Bulgaria (BG)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","N/A","482"
"Bulgaria (BG)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","N/A","657"
"Bulgaria (BG)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","N/A","723"
"Bulgaria (BG)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","N/A","645"
"Bulgaria (BG)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","N/A","585"
"Bulgaria (BG)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","N/A","563"
"Bulgaria (BG)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","N/A","579"
"Bulgaria (BG)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","N/A","794"
"Bulgaria (BG)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","N/A","948"
"Bulgaria (BG)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","N/A","1164"
"Bulgaria (BG)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","N/A","1194"
"Bulgaria (BG)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","N/A","1164"
"Bulgaria (BG)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","N/A","1131"
"Bulgaria (BG)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","N/A","996"
"Bulgaria (BG)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","N/A","951"
"Bulgaria (BG)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","N/A","882"
"Bulgaria (BG)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","N/A","428"
"Bulgaria (BG)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","N/A","209"
"Bulgaria (BG)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","N/A","171"
"Bulgaria (BG)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","N/A","171"
"Bulgaria (BG)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","N/A","170"
"Bulgaria (BG)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","N/A","195"
"Bulgaria (BG)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","N/A","292"
"Bulgaria (BG)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","N/A","526"
"Bulgaria (BG)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","N/A","716"
"Bulgaria (BG)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","N/A","833"
"Bulgaria (BG)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","N/A","865"
"Bulgaria (BG)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","N/A","903"
"Bulgaria (BG)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","N/A","904"
"Bulgaria (BG)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","N/A","817"
"Bulgaria (BG)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","N/A","775"
"Bulgaria (BG)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","N/A","875"
"Bulgaria (BG)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","N/A","1033"
"Bulgaria (BG)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","N/A","1302"
"Bulgaria (BG)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","N/A","1416"
"Bulgaria (BG)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","N/A","1340"
"Bulgaria (BG)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","N/A","1209"
"Bulgaria (BG)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","N/A","1056"
"Bulgaria (BG)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","N/A","993"
"Bulgaria (BG)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","N/A","591"
"Bulgaria (BG)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","N/A","260"
"Bulgaria (BG)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","N/A","195"
"Bulgaria (BG)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","N/A","186"
"Bulgaria (BG)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","N/A","186"
"Bulgaria (BG)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","N/A","179"
"Bulgaria (BG)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","N/A","172"
"Bulgaria (BG)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","N/A","190"
"Bulgaria (BG)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","N/A","460"
"Bulgaria (BG)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","N/A","684"
"Bulgaria (BG)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","N/A","836"
"Bulgaria (BG)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","N/A","929"
"Bulgaria (BG)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","N/A","850"
"Bulgaria (BG)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","N/A","812"
"Bulgaria (BG)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","N/A","708"
"Bulgaria (BG)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","N/A","714"
"Bulgaria (BG)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","N/A","729"
"Bulgaria (BG)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","N/A","863"
"Bulgaria (BG)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","N/A","1104"
"Bulgaria (BG)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","N/A","1183"
"Bulgaria (BG)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","N/A","1167"
"Bulgaria (BG)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","N/A","1148"
"Bulgaria (BG)","03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","N/A","1308"
"Bulgaria (BG)","03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","N/A","1304"
"Bulgaria (BG)","03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","N/A","1126"
"Bulgaria (BG)","03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","N/A","946"
"Bulgaria (BG)","03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","N/A","753"
"Bulgaria (BG)","04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","N/A","570"
"Bulgaria (BG)","04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","N/A","523"
"Bulgaria (BG)","04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","N/A","220"
"Bulgaria (BG)","04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","N/A","217"
"Bulgaria (BG)","04.01.2015 04:00 - 04.01.2015 05:00 (UTC)","N/A","197"
"Bulgaria (BG)","04.01.2015 05:00 - 04.01.2015 06:00 (UTC)","N/A","254"
"Bulgaria (BG)","04.01.2015 06:00 - 04.01.2015 07:00 (UTC)","N/A","379"
"Bulgaria (BG)","04.01.2015 07:00 - 04.01.2015 08:00 (UTC)","N/A","581"
"Bulgaria (BG)","04.01.2015 08:00 - 04.01.2015 09:00 (UTC)","N/A","748"
"Bulgaria (BG)","04.01.2015 09:00 - 04.01.2015 10:00 (UTC)","N/A","952"
"Bulgaria (BG)","04.01.2015 10:00 - 04.01.2015 11:00 (UTC)","N/A","872"
"Bulgaria (BG)","04.01.2015 11:00 - 04.01.2015 12:00 (UTC)","N/A","771"
