"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","96","30"
"Czech Republic (CZ)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","96","30"
"Czech Republic (CZ)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","96","30"
"Czech Republic (CZ)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","96","30"
"Czech Republic (CZ)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","96","30"
"Czech Republic (CZ)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","90","51"
"Czech Republic (CZ)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","84","118"
"Czech Republic (CZ)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","79","182"
"Czech Republic (CZ)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","79","178"
"Czech Republic (CZ)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","84","118"
"Czech Republic (CZ)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","79","122"
"Czech Republic (CZ)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","80","116"
"Czech Republic (CZ)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","80","114"
"Czech Republic (CZ)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","79","117"
"Czech Republic (CZ)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","74","184"
"Czech Republic (CZ)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","69","301"
"Czech Republic (CZ)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","66","506"
"Czech Republic (CZ)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","86","452"
"Czech Republic (CZ)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","90","270"
"Czech Republic (CZ)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","100","119"
"Czech Republic (CZ)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","99","53"
"Czech Republic (CZ)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","100","43"
"Czech Republic (CZ)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","99","36"
"Czech Republic (CZ)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","101","30"
"Czech Republic (CZ)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","101","30"
"Czech Republic (CZ)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","101","30"
"Czech Republic (CZ)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","101","30"
"Czech Republic (CZ)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","101","30"
"Czech Republic (CZ)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","101","29"
"Czech Republic (CZ)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","108","49"
"Czech Republic (CZ)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","100","116"
"Czech Republic (CZ)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","95","180"
"Czech Republic (CZ)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","94","183"
"Czech Republic (CZ)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","88","124"
"Czech Republic (CZ)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","87","125"
"Czech Republic (CZ)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","83","127"
"Czech Republic (CZ)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","83","128"
"Czech Republic (CZ)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","83","131"
"Czech Republic (CZ)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","78","195"
"Czech Republic (CZ)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","74","312"
"Czech Republic (CZ)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","82","509"
"Czech Republic (CZ)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","86","461"
"Czech Republic (CZ)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","90","270"
"Czech Republic (CZ)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","100","117"
"Czech Republic (CZ)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","99","52"
"Czech Republic (CZ)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","100","43"
"Czech Republic (CZ)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","99","36"
"Czech Republic (CZ)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","44","55"
"Czech Republic (CZ)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","48","42"
"Czech Republic (CZ)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","51","34"
"Czech Republic (CZ)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","51","34"
"Czech Republic (CZ)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","51","34"
"Czech Republic (CZ)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","48","41"
"Czech Republic (CZ)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","55","69"
