"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","1009","1658"
"Spain (ES)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","973","1371"
"Spain (ES)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","949","779"
"Spain (ES)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","953","720"
"Spain (ES)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","952","743"
"Spain (ES)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","961","848"
"Spain (ES)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","983","1012"
"Spain (ES)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","1001","1015"
"Spain (ES)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","1041","1357"
"Spain (ES)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","1041","1817"
"Spain (ES)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","1069","1516"
"Spain (ES)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","1052","1204"
"Spain (ES)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","1041","1286"
"Spain (ES)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","1028","1027"
"Spain (ES)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","1023","1151"
"Spain (ES)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","1032","1156"
"Spain (ES)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","1036","1626"
"Spain (ES)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","1094","3203"
"Spain (ES)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","1153","5333"
"Spain (ES)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","1214","6183"
"Spain (ES)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","1220","6231"
"Spain (ES)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","1178","5359"
"Spain (ES)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","1095","3511"
"Spain (ES)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","1002","2408"
"Spain (ES)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","949","1204"
"Spain (ES)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","936","743"
"Spain (ES)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","930","636"
"Spain (ES)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","921","505"
"Spain (ES)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","928","545"
"Spain (ES)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","936","908"
"Spain (ES)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","980","1174"
"Spain (ES)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","1031","3229"
"Spain (ES)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","1083","4574"
"Spain (ES)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","1179","5066"
"Spain (ES)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","1124","5357"
"Spain (ES)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","1119","4416"
"Spain (ES)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","1171","4475"
"Spain (ES)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","1216","4412"
"Spain (ES)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","1204","3403"
"Spain (ES)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","1193","3333"
"Spain (ES)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","1214","4684"
"Spain (ES)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","1299","6187"
"Spain (ES)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","1313","6895"
"Spain (ES)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","1329","7180"
"Spain (ES)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","1288","7833"
"Spain (ES)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","1244","7205"
"Spain (ES)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","1207","5791"
"Spain (ES)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","1131","4297"
"Spain (ES)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","1093","2576"
"Spain (ES)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","940","1566"
"Spain (ES)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","925","971"
"Spain (ES)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","915","746"
"Spain (ES)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","919","672"
"Spain (ES)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","922","787"
"Spain (ES)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","916","977"
"Spain (ES)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","966","1363"
"Spain (ES)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","989","2274"
"Spain (ES)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","1033","2988"
"Spain (ES)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","1047","3296"
"Spain (ES)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","1034","2406"
"Spain (ES)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","1020","1968"
"Spain (ES)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","1000","1752"
"Spain (ES)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","1019","1819"
"Spain (ES)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","1013","1832"
"Spain (ES)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","1036","2342"
"Spain (ES)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","1100","4180"
"Spain (ES)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","1201","5175"
"Spain (ES)","03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","1225","5620"
"Spain (ES)","03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","1265","5778"
"Spain (ES)","03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","1208","4759"
"Spain (ES)","03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","1128","3555"
"Spain (ES)","03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","971","1852"
"Spain (ES)","04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","925","1131"
"Spain (ES)","04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","907","732"
"Spain (ES)","04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","901","544"
"Spain (ES)","04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","913","512"
"Spain (ES)","04.01.2015 04:00 - 04.01.2015 05:00 (UTC)","902","536"
"Spain (ES)","04.01.2015 05:00 - 04.01.2015 06:00 (UTC)","886","760"
"Spain (ES)","04.01.2015 06:00 - 04.01.2015 07:00 (UTC)","909","706"
"Spain (ES)","04.01.2015 07:00 - 04.01.2015 08:00 (UTC)","945","750"
"Spain (ES)","04.01.2015 08:00 - 04.01.2015 09:00 (UTC)","974","1170"
"Spain (ES)","04.01.2015 09:00 - 04.01.2015 10:00 (UTC)","988","1268"
"Spain (ES)","04.01.2015 10:00 - 04.01.2015 11:00 (UTC)","990","1143"
"Spain (ES)","04.01.2015 11:00 - 04.01.2015 12:00 (UTC)","980","1112"
"Spain (ES)","04.01.2015 12:00 - 04.01.2015 13:00 (UTC)","973","1097"
"Spain (ES)","04.01.2015 13:00 - 04.01.2015 14:00 (UTC)","957","1201"
"Spain (ES)","04.01.2015 14:00 - 04.01.2015 15:00 (UTC)","995","1243"
"Spain (ES)","04.01.2015 15:00 - 04.01.2015 16:00 (UTC)","1017","1256"
"Spain (ES)","04.01.2015 16:00 - 04.01.2015 17:00 (UTC)","1020","1645"
"Spain (ES)","04.01.2015 17:00 - 04.01.2015 18:00 (UTC)","1064","4214"
"Spain (ES)","04.01.2015 18:00 - 04.01.2015 19:00 (UTC)","1147","5083"
"Spain (ES)","04.01.2015 19:00 - 04.01.2015 20:00 (UTC)","1191","6115"
"Spain (ES)","04.01.2015 20:00 - 04.01.2015 21:00 (UTC)","1242","6597"
"Spain (ES)","04.01.2015 21:00 - 04.01.2015 22:00 (UTC)","1228","6195"
"Spain (ES)","04.01.2015 22:00 - 04.01.2015 23:00 (UTC)","1214","5451"
"Spain (ES)","04.01.2015 23:00 - 05.01.2015 00:00 (UTC)","1093","3778"
"Spain (ES)","05.01.2015 00:00 - 05.01.2015 01:00 (UTC)","1046","2166"
"Spain (ES)","05.01.2015 01:00 - 05.01.2015 02:00 (UTC)","1006","1542"
"Spain (ES)","05.01.2015 02:00 - 05.01.2015 03:00 (UTC)","921","1084"
"Spain (ES)","05.01.2015 03:00 - 05.01.2015 04:00 (UTC)","899","861"
"Spain (ES)","05.01.2015 04:00 - 05.01.2015 05:00 (UTC)","893","931"
"Spain (ES)","05.01.2015 05:00 - 05.01.2015 06:00 (UTC)","886","1156"
"Spain (ES)","05.01.2015 06:00 - 05.01.2015 07:00 (UTC)","955","1984"
"Spain (ES)","05.01.2015 07:00 - 05.01.2015 08:00 (UTC)","1025","3627"
"Spain (ES)","05.01.2015 08:00 - 05.01.2015 09:00 (UTC)","1068","5228"
"Spain (ES)","05.01.2015 09:00 - 05.01.2015 10:00 (UTC)","1068","5939"
"Spain (ES)","05.01.2015 10:00 - 05.01.2015 11:00 (UTC)","1192","5440"
"Spain (ES)","05.01.2015 11:00 - 05.01.2015 12:00 (UTC)","1145","4565"
"Spain (ES)","05.01.2015 12:00 - 05.01.2015 13:00 (UTC)","1158","3976"
"Spain (ES)","05.01.2015 13:00 - 05.01.2015 14:00 (UTC)","1135","3466"
"Spain (ES)","05.01.2015 14:00 - 05.01.2015 15:00 (UTC)","1141","2727"
"Spain (ES)","05.01.2015 15:00 - 05.01.2015 16:00 (UTC)","1097","2705"
"Spain (ES)","05.01.2015 16:00 - 05.01.2015 17:00 (UTC)","1162","2969"
"Spain (ES)","05.01.2015 17:00 - 05.01.2015 18:00 (UTC)","1117","4147"
"Spain (ES)","05.01.2015 18:00 - 05.01.2015 19:00 (UTC)","1130","4383"
"Spain (ES)","05.01.2015 19:00 - 05.01.2015 20:00 (UTC)","1149","4993"
"Spain (ES)","05.01.2015 20:00 - 05.01.2015 21:00 (UTC)","1272","5297"
"Spain (ES)","05.01.2015 21:00 - 05.01.2015 22:00 (UTC)","1225","4490"
"Spain (ES)","05.01.2015 22:00 - 05.01.2015 23:00 (UTC)","1198","4054"
"Spain (ES)","05.01.2015 23:00 - 06.01.2015 00:00 (UTC)","1021","2595"
"Spain (ES)","06.01.2015 00:00 - 06.01.2015 01:00 (UTC)","955","1058"
"Spain (ES)","06.01.2015 01:00 - 06.01.2015 02:00 (UTC)","925","888"
"Spain (ES)","06.01.2015 02:00 - 06.01.2015 03:00 (UTC)","894","702"
"Spain (ES)","06.01.2015 03:00 - 06.01.2015 04:00 (UTC)","892","799"
"Spain (ES)","06.01.2015 04:00 - 06.01.2015 05:00 (UTC)","878","846"
"Spain (ES)","06.01.2015 05:00 - 06.01.2015 06:00 (UTC)","884","845"
"Spain (ES)","06.01.2015 06:00 - 06.01.2015 07:00 (UTC)","939","1285"
"Spain (ES)","06.01.2015 07:00 - 06.01.2015 08:00 (UTC)","970","1210"
"Spain (ES)","06.01.2015 08:00 - 06.01.2015 09:00 (UTC)","994","1657"
"Spain (ES)","06.01.2015 09:00 - 06.01.2015 10:00 (UTC)","1028","2650"
"Spain (ES)","06.01.2015 10:00 - 06.01.2015 11:00 (UTC)","1015","2560"
"Spain (ES)","06.01.2015 11:00 - 06.01.2015 12:00 (UTC)","1002","2406"
"Spain (ES)","06.01.2015 12:00 - 06.01.2015 13:00 (UTC)","1038","2160"
"Spain (ES)","06.01.2015 13:00 - 06.01.2015 14:00 (UTC)","1031","2366"
"Spain (ES)","06.01.2015 14:00 - 06.01.2015 15:00 (UTC)","1028","1879"
"Spain (ES)","06.01.2015 15:00 - 06.01.2015 16:00 (UTC)","1025","1673"
"Spain (ES)","06.01.2015 16:00 - 06.01.2015 17:00 (UTC)","1058","2559"
"Spain (ES)","06.01.2015 17:00 - 06.01.2015 18:00 (UTC)","1137","4566"
"Spain (ES)","06.01.2015 18:00 - 06.01.2015 19:00 (UTC)","1233","4872"
"Spain (ES)","06.01.2015 19:00 - 06.01.2015 20:00 (UTC)","1220","5377"
"Spain (ES)","06.01.2015 20:00 - 06.01.2015 21:00 (UTC)","1133","6162"
"Spain (ES)","06.01.2015 21:00 - 06.01.2015 22:00 (UTC)","1222","6509"
"Spain (ES)","06.01.2015 22:00 - 06.01.2015 23:00 (UTC)","1138","4643"
"Spain (ES)","06.01.2015 23:00 - 07.01.2015 00:00 (UTC)","931","2288"
"Spain (ES)","07.01.2015 00:00 - 07.01.2015 01:00 (UTC)","876","1180"
"Spain (ES)","07.01.2015 01:00 - 07.01.2015 02:00 (UTC)","863","632"
"Spain (ES)","07.01.2015 02:00 - 07.01.2015 03:00 (UTC)","863","695"
"Spain (ES)","07.01.2015 03:00 - 07.01.2015 04:00 (UTC)","863","834"
"Spain (ES)","07.01.2015 04:00 - 07.01.2015 05:00 (UTC)","875","760"
"Spain (ES)","07.01.2015 05:00 - 07.01.2015 06:00 (UTC)","862","1687"
"Spain (ES)","07.01.2015 06:00 - 07.01.2015 07:00 (UTC)","957","3048"
"Spain (ES)","07.01.2015 07:00 - 07.01.2015 08:00 (UTC)","1082","4412"
