"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Poland (PL)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","N/A","N/A"
"Poland (PL)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","173","0"
"Poland (PL)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","171","0"
"Poland (PL)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","172","0"
"Poland (PL)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","176","0"
"Poland (PL)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","186","0"
"Poland (PL)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","183","0"
"Poland (PL)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","179","0"
"Poland (PL)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","170","0"
"Poland (PL)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","170","0"
"Poland (PL)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","168","0"
"Poland (PL)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","167","0"
"Poland (PL)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","195","43"
"Poland (PL)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","199","43"
"Poland (PL)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","202","43"
