"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Slovenia (SI)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","242","n/e"
"Slovenia (SI)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","104","n/e"
"Slovenia (SI)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","83","n/e"
"Slovenia (SI)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","80","n/e"
"Slovenia (SI)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","84","n/e"
"Slovenia (SI)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","199","n/e"
"Slovenia (SI)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","227","n/e"
"Slovenia (SI)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","316","n/e"
"Slovenia (SI)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","454","n/e"
"Slovenia (SI)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","469","n/e"
"Slovenia (SI)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","470","n/e"
"Slovenia (SI)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","452","n/e"
"Slovenia (SI)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","459","n/e"
"Slovenia (SI)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","462","n/e"
"Slovenia (SI)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","528","n/e"
"Slovenia (SI)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","497","n/e"
"Slovenia (SI)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","561","n/e"
"Slovenia (SI)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","564","n/e"
"Slovenia (SI)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","513","n/e"
"Slovenia (SI)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","539","n/e"
"Slovenia (SI)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","433","n/e"
"Slovenia (SI)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","331","n/e"
"Slovenia (SI)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","246","n/e"
"Slovenia (SI)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","226","n/e"
"Slovenia (SI)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","178","n/e"
"Slovenia (SI)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","82","n/e"
"Slovenia (SI)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","78","n/e"
"Slovenia (SI)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","77","n/e"
"Slovenia (SI)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","78","n/e"
"Slovenia (SI)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","177","n/e"
"Slovenia (SI)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","203","n/e"
"Slovenia (SI)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","345","n/e"
"Slovenia (SI)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","449","n/e"
"Slovenia (SI)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","469","n/e"
"Slovenia (SI)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","469","n/e"
"Slovenia (SI)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","435","n/e"
"Slovenia (SI)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","502","n/e"
"Slovenia (SI)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","531","n/e"
"Slovenia (SI)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","540","n/e"
"Slovenia (SI)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","564","n/e"
"Slovenia (SI)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","630","n/e"
"Slovenia (SI)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","609","n/e"
"Slovenia (SI)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","604","n/e"
"Slovenia (SI)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","520","n/e"
"Slovenia (SI)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","421","n/e"
"Slovenia (SI)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","361","n/e"
"Slovenia (SI)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","323","n/e"
"Slovenia (SI)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","190","n/e"
"Slovenia (SI)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","86","n/e"
"Slovenia (SI)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","69","n/e"
"Slovenia (SI)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","69","n/e"
"Slovenia (SI)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","70","n/e"
"Slovenia (SI)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","82","n/e"
"Slovenia (SI)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","145","n/e"
"Slovenia (SI)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","223","n/e"
"Slovenia (SI)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","318","n/e"
"Slovenia (SI)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","408","n/e"
"Slovenia (SI)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","436","n/e"
"Slovenia (SI)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","390","n/e"
"Slovenia (SI)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","378","n/e"
"Slovenia (SI)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","386","n/e"
"Slovenia (SI)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","401","n/e"
"Slovenia (SI)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","421","n/e"
"Slovenia (SI)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","498","n/e"
"Slovenia (SI)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","581","n/e"
"Slovenia (SI)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","575","n/e"
"Slovenia (SI)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","594","n/e"
"Slovenia (SI)","03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","555","n/e"
"Slovenia (SI)","03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","379","n/e"
"Slovenia (SI)","03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","263","n/e"
"Slovenia (SI)","03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","212","n/e"
"Slovenia (SI)","03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","160","n/e"
"Slovenia (SI)","04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","111","n/e"
"Slovenia (SI)","04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","80","n/e"
"Slovenia (SI)","04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","80","n/e"
"Slovenia (SI)","04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","79","n/e"
"Slovenia (SI)","04.01.2015 04:00 - 04.01.2015 05:00 (UTC)","81","n/e"
