"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","1270","14157"
"Norway (NO)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","1271","13636"
"Norway (NO)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","1268","13147"
"Norway (NO)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","1275","13032"
"Norway (NO)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","1274","13474"
"Norway (NO)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","1266","12855"
"Norway (NO)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","1268","13162"
"Norway (NO)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","1282","13379"
"Norway (NO)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","1282","14119"
"Norway (NO)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","1284","15095"
"Norway (NO)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","1286","15914"
"Norway (NO)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","1284","16492"
"Norway (NO)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","1295","16933"
"Norway (NO)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","1289","17693"
"Norway (NO)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","1300","18953"
"Norway (NO)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","1295","19813"
"Norway (NO)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","1285","19870"
"Norway (NO)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","1279","19424"
"Norway (NO)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","1278","18418"
"Norway (NO)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","1279","17876"
"Norway (NO)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","1288","17304"
"Norway (NO)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","1279","15994"
"Norway (NO)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","1290","15292"
"Norway (NO)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","1282","14872"
"Norway (NO)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","1287","13856"
"Norway (NO)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","1270","11808"
"Norway (NO)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","1266","9990"
"Norway (NO)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","1264","9347"
"Norway (NO)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","1270","9592"
"Norway (NO)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","1268","10103"
"Norway (NO)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","1276","11347"
"Norway (NO)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","1283","13236"
"Norway (NO)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","1290","14140"
"Norway (NO)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","1290","15154"
"Norway (NO)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","1289","15644"
"Norway (NO)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","1289","15367"
"Norway (NO)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","1286","15546"
"Norway (NO)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","1285","15615"
"Norway (NO)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","1286","16141"
"Norway (NO)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","1280","17079"
"Norway (NO)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","1282","17715"
"Norway (NO)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","1274","17587"
"Norway (NO)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","1268","16800"
"Norway (NO)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","1267","16172"
"Norway (NO)","02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","1269","15232"
"Norway (NO)","02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","1262","14740"
"Norway (NO)","02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","1264","13713"
"Norway (NO)","02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","1242","13803"
"Norway (NO)","03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","1255","13745"
"Norway (NO)","03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","1250","13575"
"Norway (NO)","03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","1244","13148"
"Norway (NO)","03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","1241","12697"
"Norway (NO)","03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","1240","13014"
"Norway (NO)","03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","1238","12946"
"Norway (NO)","03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","1236","13398"
"Norway (NO)","03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","1254","14310"
"Norway (NO)","03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","1265","15612"
"Norway (NO)","03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","1281","17353"
"Norway (NO)","03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","1272","17818"
"Norway (NO)","03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","1299","17624"
"Norway (NO)","03.01.2016 12:00 - 03.01.2016 13:00 (UTC)","1307","17598"
"Norway (NO)","03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","1309","17843"
"Norway (NO)","03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","1313","18642"
"Norway (NO)","03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","1313","19854"
