"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Romania (RO)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","329","706"
"Romania (RO)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","321","595"
"Romania (RO)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","341","422"
"Romania (RO)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","353","419"
"Romania (RO)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","350","403"
"Romania (RO)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","548","246"
"Romania (RO)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","552","197"
"Romania (RO)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","684","253"
"Romania (RO)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","609","199"
"Romania (RO)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","456","141"
"Romania (RO)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","564","188"
"Romania (RO)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","539","184"
"Romania (RO)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","546","166"
"Romania (RO)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","671","155"
"Romania (RO)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","727","411"
"Romania (RO)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","966","825"
"Romania (RO)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","935","1023"
"Romania (RO)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","995","797"
"Romania (RO)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","915","640"
"Romania (RO)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","734","482"
"Romania (RO)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","685","282"
"Romania (RO)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","601","223"
"Romania (RO)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","517","119"
"Romania (RO)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","404","75"
"Romania (RO)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","555","115"
"Romania (RO)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","376","68"
"Romania (RO)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","404","82"
"Romania (RO)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","493","123"
"Romania (RO)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","468","94"
"Romania (RO)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","471","120"
"Romania (RO)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","513","192"
"Romania (RO)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","555","230"
"Romania (RO)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","769","472"
"Romania (RO)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","775","523"
"Romania (RO)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","728","516"
"Romania (RO)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","716","566"
"Romania (RO)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","715","748"
"Romania (RO)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","837","824"
"Romania (RO)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","882","984"
"Romania (RO)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","1062","1576"
"Romania (RO)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","993","1841"
"Romania (RO)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","843","1802"
"Romania (RO)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","844","1525"
"Romania (RO)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","802","1321"
