"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Slovakia (SK)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","100","0"
"Slovakia (SK)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","101","0"
"Slovakia (SK)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","100","0"
"Slovakia (SK)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","100","0"
"Slovakia (SK)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","101","0"
"Slovakia (SK)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","101","0"
"Slovakia (SK)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","220","0"
"Slovakia (SK)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","221","0"
"Slovakia (SK)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","219","0"
"Slovakia (SK)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","243","0"
"Slovakia (SK)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","247","0"
"Slovakia (SK)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","271","27"
"Slovakia (SK)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","256","0"
"Slovakia (SK)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","244","0"
"Slovakia (SK)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","238","0"
"Slovakia (SK)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","264","0"
"Slovakia (SK)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","264","0"
"Slovakia (SK)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","279","30"
"Slovakia (SK)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","285","30"
"Slovakia (SK)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","285","0"
"Slovakia (SK)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","270","0"
"Slovakia (SK)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","213","0"
