"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2015 00:00 - 01.01.2015 00:15 (UTC)","1491","234"
"Austria (AT)","01.01.2015 00:15 - 01.01.2015 00:30 (UTC)","1490","215"
"Austria (AT)","01.01.2015 00:30 - 01.01.2015 00:45 (UTC)","1490","216"
"Austria (AT)","01.01.2015 00:45 - 01.01.2015 01:00 (UTC)","1488","207"
"Austria (AT)","01.01.2015 01:00 - 01.01.2015 01:15 (UTC)","1478","186"
"Austria (AT)","01.01.2015 01:15 - 01.01.2015 01:30 (UTC)","1458","180"
"Austria (AT)","01.01.2015 01:30 - 01.01.2015 01:45 (UTC)","1452","173"
"Austria (AT)","01.01.2015 01:45 - 01.01.2015 02:00 (UTC)","1451","183"
"Austria (AT)","01.01.2015 02:00 - 01.01.2015 02:15 (UTC)","1433","205"
"Austria (AT)","01.01.2015 02:15 - 01.01.2015 02:30 (UTC)","1427","204"
"Austria (AT)","01.01.2015 02:30 - 01.01.2015 02:45 (UTC)","1430","212"
"Austria (AT)","01.01.2015 02:45 - 01.01.2015 03:00 (UTC)","1429","272"
"Austria (AT)","01.01.2015 03:00 - 01.01.2015 03:15 (UTC)","1442","276"
"Austria (AT)","01.01.2015 03:15 - 01.01.2015 03:30 (UTC)","1446","279"
"Austria (AT)","01.01.2015 03:30 - 01.01.2015 03:45 (UTC)","1451","278"
"Austria (AT)","01.01.2015 03:45 - 01.01.2015 04:00 (UTC)","1451","278"
"Austria (AT)","01.01.2015 04:00 - 01.01.2015 04:15 (UTC)","1455","256"
"Austria (AT)","01.01.2015 04:15 - 01.01.2015 04:30 (UTC)","1448","254"
"Austria (AT)","01.01.2015 04:30 - 01.01.2015 04:45 (UTC)","1446","253"
"Austria (AT)","01.01.2015 04:45 - 01.01.2015 05:00 (UTC)","1444","248"
"Austria (AT)","01.01.2015 05:00 - 01.01.2015 05:15 (UTC)","1445","198"
"Austria (AT)","01.01.2015 05:15 - 01.01.2015 05:30 (UTC)","1443","209"
"Austria (AT)","01.01.2015 05:30 - 01.01.2015 05:45 (UTC)","1439","221"
"Austria (AT)","01.01.2015 05:45 - 01.01.2015 06:00 (UTC)","1432","211"
"Austria (AT)","01.01.2015 06:00 - 01.01.2015 06:15 (UTC)","1459","226"
"Austria (AT)","01.01.2015 06:15 - 01.01.2015 06:30 (UTC)","1500","219"
"Austria (AT)","01.01.2015 06:30 - 01.01.2015 06:45 (UTC)","1514","247"
"Austria (AT)","01.01.2015 06:45 - 01.01.2015 07:00 (UTC)","1517","244"
"Austria (AT)","01.01.2015 07:00 - 01.01.2015 07:15 (UTC)","1499","217"
"Austria (AT)","01.01.2015 07:15 - 01.01.2015 07:30 (UTC)","1508","216"
"Austria (AT)","01.01.2015 07:30 - 01.01.2015 07:45 (UTC)","1522","260"
"Austria (AT)","01.01.2015 07:45 - 01.01.2015 08:00 (UTC)","1532","264"
"Austria (AT)","01.01.2015 08:00 - 01.01.2015 08:15 (UTC)","1538","260"
"Austria (AT)","01.01.2015 08:15 - 01.01.2015 08:30 (UTC)","1539","254"
"Austria (AT)","01.01.2015 08:30 - 01.01.2015 08:45 (UTC)","1539","262"
"Austria (AT)","01.01.2015 08:45 - 01.01.2015 09:00 (UTC)","1536","294"
"Austria (AT)","01.01.2015 09:00 - 01.01.2015 09:15 (UTC)","1524","287"
"Austria (AT)","01.01.2015 09:15 - 01.01.2015 09:30 (UTC)","1520","316"
"Austria (AT)","01.01.2015 09:30 - 01.01.2015 09:45 (UTC)","1520","344"
