"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Switzerland (CH)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","32","318"
"Switzerland (CH)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","32","308"
"Switzerland (CH)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","31","299"
"Switzerland (CH)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","31","295"
"Switzerland (CH)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","31","309"
"Switzerland (CH)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","31","338"
"Switzerland (CH)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","31","325"
"Switzerland (CH)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","31","310"
"Switzerland (CH)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","31","293"
"Switzerland (CH)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","31","301"
"Switzerland (CH)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","31","300"
"Switzerland (CH)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","31","308"
"Switzerland (CH)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","31","307"
"Switzerland (CH)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","31","326"
"Switzerland (CH)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","31","343"
"Switzerland (CH)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","31","341"
"Switzerland (CH)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","31","417"
"Switzerland (CH)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","31","410"
"Switzerland (CH)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","31","355"
"Switzerland (CH)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","31","295"
"Switzerland (CH)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","31","306"
"Switzerland (CH)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","31","320"
"Switzerland (CH)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","31","326"
"Switzerland (CH)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","31","298"
"Switzerland (CH)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","31","300"
"Switzerland (CH)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","31","330"
