"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","682","1840"
"Spain (ES)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","660","1343"
"Spain (ES)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","651","906"
"Spain (ES)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","626","545"
"Spain (ES)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","616","446"
"Spain (ES)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","618","475"
"Spain (ES)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","621","395"
"Spain (ES)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","626","410"
"Spain (ES)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","615","616"
"Spain (ES)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","616","1025"
"Spain (ES)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","629","1040"
"Spain (ES)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","615","991"
"Spain (ES)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","623","750"
"Spain (ES)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","632","913"
"Spain (ES)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","544","876"
"Spain (ES)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","547","677"
"Spain (ES)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","596","867"
"Spain (ES)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","693","1440"
"Spain (ES)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","716","1447"
"Spain (ES)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","726","1568"
"Spain (ES)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","694","1531"
"Spain (ES)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","684","1243"
"Spain (ES)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","677","1324"
"Spain (ES)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","630","489"
"Spain (ES)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","582","587"
"Spain (ES)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","584","544"
"Spain (ES)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","584","622"
"Spain (ES)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","585","508"
"Spain (ES)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","584","448"
"Spain (ES)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","585","508"
"Spain (ES)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","654","783"
"Spain (ES)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","687","696"
"Spain (ES)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","691","1001"
"Spain (ES)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","698","1376"
"Spain (ES)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","712","1178"
"Spain (ES)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","699","1019"
"Spain (ES)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","677","869"
"Spain (ES)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","587","1142"
"Spain (ES)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","586","1268"
"Spain (ES)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","653","1354"
"Spain (ES)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","697","2345"
"Spain (ES)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","723","4272"
"Spain (ES)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","747","4686"
"Spain (ES)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","763","5090"
"Spain (ES)","02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","745","4966"
"Spain (ES)","02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","638","3981"
"Spain (ES)","02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","603","2882"
"Spain (ES)","02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","581","1627"
"Spain (ES)","03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","550","1546"
"Spain (ES)","03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","534","1223"
"Spain (ES)","03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","533","465"
"Spain (ES)","03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","530","360"
"Spain (ES)","03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","529","472"
