"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Finland (FI)","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","735","n/e"
"Finland (FI)","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","668","n/e"
"Finland (FI)","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","669","n/e"
"Finland (FI)","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","605","n/e"
"Finland (FI)","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","594","n/e"
"Finland (FI)","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","648","n/e"
"Finland (FI)","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","692","n/e"
"Finland (FI)","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","780","n/e"
"Finland (FI)","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","843","n/e"
"Finland (FI)","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","822","n/e"
"Finland (FI)","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","808","n/e"
"Finland (FI)","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","789","n/e"
"Finland (FI)","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","909","n/e"
"Finland (FI)","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","996","n/e"
"Finland (FI)","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","986","n/e"
"Finland (FI)","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","998","n/e"
"Finland (FI)","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","1020","n/e"
"Finland (FI)","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","1000","n/e"
"Finland (FI)","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","956","n/e"
"Finland (FI)","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","843","n/e"
"Finland (FI)","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","823","n/e"
"Finland (FI)","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","812","n/e"
"Finland (FI)","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","731","n/e"
"Finland (FI)","01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","636","n/e"
"Finland (FI)","02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","622","n/e"
"Finland (FI)","02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","583","n/e"
"Finland (FI)","02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","538","n/e"
"Finland (FI)","02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","545","n/e"
"Finland (FI)","02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","633","n/e"
"Finland (FI)","02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","752","n/e"
"Finland (FI)","02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","863","n/e"
"Finland (FI)","02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","1029","n/e"
"Finland (FI)","02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","1074","n/e"
"Finland (FI)","02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","1083","n/e"
"Finland (FI)","02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","1037","n/e"
"Finland (FI)","02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","1016","n/e"
"Finland (FI)","02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","1014","n/e"
"Finland (FI)","02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","960","n/e"
"Finland (FI)","02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","1066","n/e"
"Finland (FI)","02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","1286","n/e"
"Finland (FI)","02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","1249","n/e"
"Finland (FI)","02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","1256","n/e"
"Finland (FI)","02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST)","1190","n/e"
"Finland (FI)","02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST)","N/A","n/e"
"Finland (FI)","02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST)","935","n/e"
"Finland (FI)","02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST)","874","n/e"
"Finland (FI)","02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST)","860","n/e"
"Finland (FI)","02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST)","743","n/e"
"Finland (FI)","03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST)","626","n/e"
"Finland (FI)","03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST)","538","n/e"
"Finland (FI)","03.01.2015 02:00 - 03.01.2015 03:00 (CET/CEST)","513","n/e"
"Finland (FI)","03.01.2015 03:00 - 03.01.2015 04:00 (CET/CEST)","546","n/e"
"Finland (FI)","03.01.2015 04:00 - 03.01.2015 05:00 (CET/CEST)","604","n/e"
"Finland (FI)","03.01.2015 05:00 - 03.01.2015 06:00 (CET/CEST)","740","n/e"
