"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","4426","4555"
"France (FR)","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","4229","3732"
"France (FR)","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","4007","3046"
"France (FR)","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","3787","1726"
"France (FR)","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","3654","810"
"France (FR)","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","3594","1090"
"France (FR)","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","3416","1269"
"France (FR)","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","3283","1086"
"France (FR)","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","3472","916"
"France (FR)","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","3681","803"
"France (FR)","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","3798","819"
"France (FR)","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","3889","1095"
"France (FR)","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","4007","1699"
"France (FR)","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","3718","960"
"France (FR)","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","3483","610"
"France (FR)","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","3418","598"
"France (FR)","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","3378","660"
"France (FR)","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","3678","3006"
"France (FR)","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","4530","5744"
"France (FR)","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","4926","6382"
"France (FR)","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","4817","5380"
"France (FR)","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","4830","3513"
"France (FR)","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","4764","4193"
