"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","1163","81"
"Italy (IT)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","1089","20"
"Italy (IT)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","1010","20"
"Italy (IT)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","988","20"
"Italy (IT)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","1001","24"
"Italy (IT)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","1057","36"
"Italy (IT)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","1123","80"
"Italy (IT)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","1272","138"
"Italy (IT)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","1288","124"
"Italy (IT)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","1181","114"
"Italy (IT)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","1111","102"
"Italy (IT)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","1078","64"
"Italy (IT)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","1021","49"
"Italy (IT)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","1070","50"
"Italy (IT)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","1179","94"
"Italy (IT)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","1608","193"
"Italy (IT)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","3236","621"
"Italy (IT)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","3484","579"
"Italy (IT)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","3169","490"
"Italy (IT)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","2909","408"
"Italy (IT)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","1906","238"
"Italy (IT)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","1439","159"
"Italy (IT)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","1241","52"
"Italy (IT)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","1114","24"
"Italy (IT)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","1020","20"
"Italy (IT)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","956","20"
"Italy (IT)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","910","20"
"Italy (IT)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","896","20"
"Italy (IT)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","934","21"
"Italy (IT)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","979","33"
"Italy (IT)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","1013","82"
"Italy (IT)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","1265","249"
