"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","577","74"
"Portugal (PT)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","374","104"
"Portugal (PT)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","371","98"
"Portugal (PT)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","311","69"
"Portugal (PT)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","237","68"
"Portugal (PT)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","401","68"
"Portugal (PT)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","499","67"
"Portugal (PT)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","438","69"
"Portugal (PT)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","559","80"
"Portugal (PT)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","630","106"
"Portugal (PT)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","629","108"
"Portugal (PT)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","668","71"
"Portugal (PT)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","579","109"
"Portugal (PT)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","528","122"
"Portugal (PT)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","518","77"
"Portugal (PT)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","601","68"
"Portugal (PT)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","564","79"
"Portugal (PT)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","677","109"
"Portugal (PT)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","641","197"
"Portugal (PT)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","544","145"
"Portugal (PT)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","525","104"
"Portugal (PT)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","638","104"
"Portugal (PT)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","659","85"
"Portugal (PT)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","682","81"
"Portugal (PT)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","550","79"
"Portugal (PT)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","475","25"
"Portugal (PT)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","401","3"
"Portugal (PT)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","482","4"
"Portugal (PT)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","467","3"
"Portugal (PT)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","453","4"
"Portugal (PT)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","641","5"
"Portugal (PT)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","632","51"
"Portugal (PT)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","671","74"
"Portugal (PT)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","898","208"
"Portugal (PT)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","872","232"
"Portugal (PT)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","784","180"
"Portugal (PT)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","994","179"
"Portugal (PT)","02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","855","181"
"Portugal (PT)","02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","658","117"
"Portugal (PT)","02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","686","144"
"Portugal (PT)","02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","669","131"
"Portugal (PT)","02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","828","309"
"Portugal (PT)","02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","810","749"
"Portugal (PT)","02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","900","1099"
"Portugal (PT)","02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","938","1050"
"Portugal (PT)","02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","851","648"
"Portugal (PT)","02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","761","288"
"Portugal (PT)","02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","671","144"
"Portugal (PT)","03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","438","103"
"Portugal (PT)","03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","428","136"
"Portugal (PT)","03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","362","141"
"Portugal (PT)","03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","466","140"
"Portugal (PT)","03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","456","140"
"Portugal (PT)","03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","536","141"
"Portugal (PT)","03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","592","130"
"Portugal (PT)","03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","493","124"
"Portugal (PT)","03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","563","129"
"Portugal (PT)","03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","594","171"
"Portugal (PT)","03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","784","192"
"Portugal (PT)","03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","766","173"
"Portugal (PT)","03.01.2016 12:00 - 03.01.2016 13:00 (UTC)","796","156"
"Portugal (PT)","03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","570","150"
"Portugal (PT)","03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","531","193"
"Portugal (PT)","03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","629","210"
"Portugal (PT)","03.01.2016 16:00 - 03.01.2016 17:00 (UTC)","571","153"
"Portugal (PT)","03.01.2016 17:00 - 03.01.2016 18:00 (UTC)","672","143"
"Portugal (PT)","03.01.2016 18:00 - 03.01.2016 19:00 (UTC)","697","230"
"Portugal (PT)","03.01.2016 19:00 - 03.01.2016 20:00 (UTC)","675","206"
"Portugal (PT)","03.01.2016 20:00 - 03.01.2016 21:00 (UTC)","775","206"
"Portugal (PT)","03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","772","197"
"Portugal (PT)","03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","686","109"
"Portugal (PT)","03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","818","109"
"Portugal (PT)","04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","590","160"
"Portugal (PT)","04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","436","162"
"Portugal (PT)","04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","403","87"
"Portugal (PT)","04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","397","61"
"Portugal (PT)","04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","463","43"
"Portugal (PT)","04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","608","164"
"Portugal (PT)","04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","912","213"
"Portugal (PT)","04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","874","231"
"Portugal (PT)","04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","791","247"
"Portugal (PT)","04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","899","320"
"Portugal (PT)","04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","1023","383"
"Portugal (PT)","04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","1163","621"
"Portugal (PT)","04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","1171","580"
"Portugal (PT)","04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","1218","586"
"Portugal (PT)","04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","1179","681"
"Portugal (PT)","04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","1176","803"
"Portugal (PT)","04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","1079","778"
"Portugal (PT)","04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","1186","731"
"Portugal (PT)","04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","1356","752"
"Portugal (PT)","04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","1379","821"
"Portugal (PT)","04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","1187","394"
"Portugal (PT)","04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","1013","299"
"Portugal (PT)","04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","1382","326"
"Portugal (PT)","04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","1561","955"
"Portugal (PT)","05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","956","360"
"Portugal (PT)","05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","775","347"
"Portugal (PT)","05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","716","246"
"Portugal (PT)","05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","845","358"
"Portugal (PT)","05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","970","374"
"Portugal (PT)","05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","997","421"
"Portugal (PT)","05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","1194","831"
"Portugal (PT)","05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","1674","988"
"Portugal (PT)","05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","1653","790"
"Portugal (PT)","05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","1630","782"
"Portugal (PT)","05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","1583","1001"
"Portugal (PT)","05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","1573","961"
"Portugal (PT)","05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","1415","972"
"Portugal (PT)","05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","1300","914"
"Portugal (PT)","05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","1258","1019"
"Portugal (PT)","05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","1311","993"
"Portugal (PT)","05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","1163","1316"
"Portugal (PT)","05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","1369","1313"
"Portugal (PT)","05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","1395","1321"
"Portugal (PT)","05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","1567","1234"
"Portugal (PT)","05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","1493","1150"
