"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","n/e","N/A"
"Sweden (SE)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","n/e","N/A"
"Sweden (SE)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","n/e","N/A"
"Sweden (SE)","03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","n/e","N/A"
