"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Slovakia (SK)","01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","277","0"
"Slovakia (SK)","01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","278","0"
"Slovakia (SK)","01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","278","0"
"Slovakia (SK)","01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","278",""
"Slovakia (SK)","01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","280",""
"Slovakia (SK)","01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","280",""
"Slovakia (SK)","01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","310",""
"Slovakia (SK)","01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","306",""
"Slovakia (SK)","01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","311",""
"Slovakia (SK)","01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","349","0"
"Slovakia (SK)","01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","348","0"
"Slovakia (SK)","01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","360","0"
"Slovakia (SK)","01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","361","0"
"Slovakia (SK)","01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","363","0"
"Slovakia (SK)","01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","360","0"
"Slovakia (SK)","01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","355","0"
"Slovakia (SK)","01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","355","0"
"Slovakia (SK)","01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","364","60"
"Slovakia (SK)","01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","364","109"
"Slovakia (SK)","01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","368","109"
"Slovakia (SK)","01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","344","61"
"Slovakia (SK)","01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","323","20"
"Slovakia (SK)","01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","321","0"
"Slovakia (SK)","01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","316","0"
"Slovakia (SK)","02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","263","0"
"Slovakia (SK)","02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","263","0"
"Slovakia (SK)","02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","263",""
"Slovakia (SK)","02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","264",""
"Slovakia (SK)","02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","265",""
"Slovakia (SK)","02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","265",""
"Slovakia (SK)","02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","301",""
"Slovakia (SK)","02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","295",""
"Slovakia (SK)","02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","306","0"
"Slovakia (SK)","02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","327","0"
"Slovakia (SK)","02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","332","64"
"Slovakia (SK)","02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","335","66"
"Slovakia (SK)","02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","349","1"
"Slovakia (SK)","02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","356","0"
"Slovakia (SK)","02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","352","0"
"Slovakia (SK)","02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","359","0"
"Slovakia (SK)","02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","350","51"
"Slovakia (SK)","02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","366","109"
"Slovakia (SK)","02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","368","67"
"Slovakia (SK)","02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","368","68"
"Slovakia (SK)","02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","338","1"
"Slovakia (SK)","02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","307","0"
"Slovakia (SK)","02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","312","0"
"Slovakia (SK)","02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","307","0"
"Slovakia (SK)","03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","293",""
"Slovakia (SK)","03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","295",""
"Slovakia (SK)","03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","297",""
"Slovakia (SK)","03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","297",""
"Slovakia (SK)","03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","290",""
"Slovakia (SK)","03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","289",""
"Slovakia (SK)","03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","335",""
"Slovakia (SK)","03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","334",""
"Slovakia (SK)","03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","340",""
"Slovakia (SK)","03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","371",""
"Slovakia (SK)","03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","373",""
"Slovakia (SK)","03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","379",""
"Slovakia (SK)","03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","387",""
"Slovakia (SK)","03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","384","0"
"Slovakia (SK)","03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","362","0"
"Slovakia (SK)","03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","378","0"
"Slovakia (SK)","03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","385","0"
